video_id,title,channel,publish_time,views,likes,comments,category
8e1S7Y5KAFM,"PERFECT - Guru Randhawa, Varun Dhawan, Janhvi Kapoor | Sunny Sanskari Ki Tulsi Kumari",Sony Music India,2025-09-18 05:30:10+00:00,10680242,204845,12563,10
zHVtd-g0dPg,KRAMP Teaser | Kiran Abbavaraam | Yukti Thareja | Jains Nani | Razesh Danda | Hasya Movies,Hasya Movies,2025-09-19 10:35:29+00:00,58236,26790,1402,24
87ywggOkdSI,[Hindi] BMSD 2025 | Lower Bracket | Day 1,KRAFTON INDIA ESPORTS,2025-09-18 14:09:42+00:00,1685540,52009,541,20
WsllF4THOYk,"The Ba***ds Of Bollywood: Ghafoor (Song) | Aryan K | Shashwat, Shilpa, Ujwal | Tamannaah, Farah Khan",T-Series,2025-09-19 09:30:07+00:00,742181,87145,3263,10
XpuYP1lBvJk,Vrusshabha Official Teaser | Mohanlal as a King | Directed by Nanda Kishore | Diwali 2025 Release,Aashirvad Cinemas,2025-09-18 12:44:02+00:00,803122,30988,2797,1
9glEFwhJq48,HACKER OR WHAT | JONATHAN IS BACK | Gaming on the S25 Ultra is INSANE,JONATHAN GAMING,2025-09-18 20:59:24+00:00,1962833,184532,422,20
J6BRK0pndWI,Rohtak 3(Official Video) Amit Saini Rohtakiya ft. Tijara Vines | DJ Sky | New Haryanvi Song 2025,White Hill Dhaakad,2025-09-18 10:30:21+00:00,506193,30896,16288,10
9FUd-D4FWjw,"Sunny Sanskari Ki Tulsi Kumari - OFFICIAL TRAILER | Varun, Janhvi, Sanya, Rohit | Shashank K | Oct 2",Dharma Productions,2025-09-15 07:30:07+00:00,25196509,267193,16789,1
b9LCt8cQGow,Live Horror Game Granny #granny #shorts #shortsfeed,ANZU SENPAI,2025-09-19 10:28:58+00:00,898903,0,10,20
ziM_K-n6svk,Guns and Roses - #TheyCallHimOG | Pawan Kalyan | Emraan Hashmi | Sujeeth | Thaman S | DVV Danayya,Sony Music South,2025-09-15 12:36:56+00:00,5256613,372228,11831,10
az8M5Mai0X4,ANACONDA – Official Trailer (HD),Sony Pictures Entertainment,2025-09-17 13:00:05+00:00,2407377,65161,6668,1
9YB6MUQh2Jc,100 Days But FIRE Gives OP ITEMS In Hardcore Minecraft 😰,Anshu Bisht,2025-09-19 08:11:42+00:00,400307,38330,4444,20
G8g0ertPvHQ,Salambala - Full Video | Sivakarthikeyan | Rukmini | A.R.Murugadoss | Anirudh | Sai Abhyankkar,Junglee Music Tamil,2025-09-18 04:30:04+00:00,626684,30503,708,10
SVbyUAKVNjg,Jolly LLB 3 |Trailer |Akshay Kumar |Arshad Warsi |Subhash Kapoor |In Cinemas 19th September 2025,Bollywood studios,2025-09-13 05:30:12+00:00,131032,1032,16,24
-Wf9c471AvA,Long Slide Game With Elephant Gorilla Buffalo Hippopotamus Tiger 3d Animal Game Funny 3d Animals,Firodaliso FunAnimation,2025-09-17 10:41:14+00:00,1903018,61078,480,24
kdRynSEOMns,"#4k Video - मेला घुमेले अइहो - #Ashish Yadav , #Anjali Bharti का नवरात्री गीत -  #Devi Geet 2025",Aashish Yadav Entertainment,2025-09-17 11:26:40+00:00,613697,22765,1087,10
dEWFXyl0Zts,"Kushi (Tamil) – Official Re-Release Trailer | Thalapathy Vijay, Jyotika | Sept 2025",Sri Surya Movies,2025-09-18 05:13:03+00:00,124905,13102,381,24
pe_VGw-1K4M,From Poor to Rich in Hotel Civilization in Minecraft..,Carry Depie,2025-09-18 09:33:39+00:00,803682,10213,555,20
S5rV-1OHrsw,Video | बनवास | Aashish Yadav | Ft. Raksha Gupta | Banwas | New Magahi Sad Song | Wave Music,Wave Music,2025-09-19 01:15:04+00:00,152034,9909,458,10
af-mfSqRiJg,Doomsday Teaser confirmed? Evil Avengers? - RoastVerse 141,ComicVerse,2025-09-17 16:08:43+00:00,426873,24764,605,24
saCU-cF9yrg,Long Slide Game With Cow Elephant Gorilla Hippopotamus Tiger 3d Animal Game Funny 3d Animals,Bomini Animals,2025-09-18 16:08:46+00:00,1518739,69131,3087,23
C9V9ORJ6ltY,Asal Kolaar - Karuppu Car ft. Bank Rolls Young  (Music Video) | RXZOR | Dinesu | Think Indie,Asal Kolaar,2025-09-18 13:10:38+00:00,826981,34394,861,10
mwwzisLeDwM,Nikka Zaildar 4 : Full Trailer | Ammy Virk | Sonam Bajwa | New Punjabi Movie 2025 | Rel 2nd Oct,White Hill Music,2025-09-18 05:28:56+00:00,1134865,21990,799,10
B5WKCDQKvg8,CONQUEROR RANK PUSH TO #1 BEGINS! | CLASSIC HACKER OR WHAT | BGMI LIVE,LoLzZz Gaming,2025-09-18 12:58:36+00:00,718298,41182,56,20
r_lxE7kF0Fo,"Bol Kaffara Kya Hoga - Ek Deewane Ki Deewaniyat | Harshvardhan, Sonam | Chetas, Neha, Farhan, Lijo",Play DMF,2025-09-15 05:30:12+00:00,39241446,557051,185280,10
NyS3c6ImxqE,Raktabeej 2 l Official Trailer | Nandita Roy | Shiboprosad Mukherjee | Windows,WINDOWS,2025-09-17 04:29:07+00:00,645293,39122,6528,1
9-mt7X90a2w,Franklin Fall in Deepest Chocolate Pool In Indian Bike Driving 3D!,R A T 🐭,2025-09-18 07:58:33+00:00,284403,1813,16,20
B9CImDSFfgs,Aalu Matar (Official Music Video) Diler Kharkiya | Anjali Raghav | New Haryanvi Song 2025,Dabble Voice Music,2025-09-17 14:23:13+00:00,161533,894,15,22
xLfx0ScHOyk,VRUSSHABHA - TEASER | Mohanlal | Jayaram | Nanda Kishore | Devi Sri Prasad | Vrushabha Trailer,WonDer BoSs  • 2.6M views • 4 hours go           .,2025-09-18 11:36:14+00:00,49831,604,70,22
vpUFBrZNELE,"FINALLY BOUGHT NEW 98,000,000$ LUXURY MANSION in GTA 5 REAL LIFE!🔥#39",Dattrax Gaming,2025-09-18 05:30:26+00:00,635007,28076,2605,20
Aiyk2vzlGO8,Dhanda Nyoliwala - Underground (Music Video) | Deepesh Goyal | VYRL Haryanvi,VYRL Haryanvi,2025-09-17 05:30:49+00:00,1661299,63858,3093,10
OE-I8Bj4Qzk,Devi Chowdhurani Official Trailer | Prosenjit C | Srabanti C | Subhrajit M | ADited| LOK | 26th Sept,Zee Music Bangla,2025-09-18 11:30:17+00:00,65955,4009,726,24
b-Rvv-lDQes,From Woodpecker to AC80😈 Let’s Make Enemies CRY🔥,Zerox FF,2025-09-19 12:57:08+00:00,423074,7792,5,20
8cviQKlGBoE,Rekka Rekka | Bison Kaalamaadan | Dhruv Vikram | Mari Selvaraj | Nivas K Prasanna | Arivu | Vedan,Think Music India,2025-09-16 12:30:18+00:00,3532057,58879,2856,10
u7OxDaU_qcA,Mahavatar Narsimha | Official Trailer | Netflix India,Netflix India,2025-09-19 07:00:00+00:00,156005,7781,417,24
_kJ5Tho5m9M,I was Working at The Gas Station at 3 AM (The Pit Stop - Short Horror Game),Live Insaan,2025-09-18 11:30:37+00:00,619991,29223,1657,20
cK8FQQ5gf_s,2025 विश्वकर्मा पूजा आरती - Vishwakarma Aarti - Rinky Vishwakarma - Vishwakarma Pooja Aarti,Spiritual Activity,2025-09-16 22:30:13+00:00,655270,3668,230,10
ZKC_CBfJnFc,ట్రైలర్ అప్డేట్ కోసం ఫ్యాన్స్ వెయిటింగ్ | OG Movie Trailer Update | Pawan Kalyan | 10tv Ent,10TV Entertainment,2025-09-18 03:14:21+00:00,51980,1208,31,24
RiT_37U8vOw,Minecraft But Youtubers become Animals..,Karry Kraft,2025-09-17 12:48:39+00:00,678803,7767,462,20
5sZoINWm1qw,#VIDEO #Pawan Singh & #Shilpi Raj | आ गया गर्दा मचाने |बदलते बा भतार | New Bhojpuri Song 2025,Lalla Music World,2025-09-12 12:00:16+00:00,45971,206,6,22
annnFvnbn38,Kantara 2: A Legend Chapter 1 - Hindi Trailer | Rishab Shetty | Sapthami Gowda | #Kantara2 Trailer,"T-Star Studio • 13M views • 2 hours ago



...",2025-09-18 08:05:38+00:00,47016,814,15,24
L60SfOLwhdg,Free fire india custom ,Bold gaming ,2025-09-17 15:21:36+00:00,159578,2962,39,20
8QriW4qX_lg,"Confuse Darling (Official Video) Masoom Sharma | Manjeet Mor, Aarohi Raghav | New Haryanvi Song 2025",Nav Haryanvi,2025-09-19 04:37:44+00:00,102796,7479,222,10
IU9ttIWDXWU,"They Call Him OG"" Official Trailer | PSPK | Priyanka | Emraan | Sujeeth | Thaman S #OG #ogtrailer",Filmy Music Vibes,2025-09-16 11:15:05+00:00,628658,22006,108,10
93_waHVgDFY,From Poor to Rich in Avaritia Civilization in Minecraft..,Flame playz,2025-09-19 08:30:06+00:00,112063,2313,115,20
PNGmM0ad-HE,Sadi Nila Nila | #Paras Raj Yadav | Nila Nila Sadi | #Anjali Bharti | #Khortha Video 2025,KS Bhakti Bhajan,2025-09-17 12:16:13+00:00,109975,813,9,10
uogrgIasYcA,Now You See Me: Now You Don’t (2025) - Official Trailer #2,Lionsgate Movies,2025-09-18 15:00:11+00:00,1049812,16523,816,1
JQCAhTm2ufg,YE KAISA BUNDLE AA GAYA 😱 FREE FIRE,SATVIK,2025-09-18 00:24:09+00:00,695611,19317,2351,20
NK_L0gYMx9w,#Video | विश्वकर्मा पूजा स्पेशल गीत 2025 | New Vishwakarma Puja Song 2025 | Vishwakarma Puja Ke Gana,Jyoti Music,2025-09-16 01:30:32+00:00,720643,4133,162,22
xfYcMkY7uuw,CHARDHAM | Official Trailer | Odia Movie | Anubhav Mohanty | Anuradha Panigrahi | Gulua | Himadri,Rajshri Odia,2025-09-15 16:34:06+00:00,514353,20489,2082,24
